"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
92,"Provençals del Poblenou",76,4,1,220000,"GAND HOUSE","G",999,"G",999,2022-03-29,"No","No",1961,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",2894.73684210526
93,"Les Corts",73,3,1,346000,"Atico/Noramarti","E",115,"E",24,2022-03-08,"No","No",1967,"No","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4739.72602739726
94,"Les Corts",106,4,2,470000,"FINCAS GP","E",147,"E",31,2022-04-04,"Yes","No",1980,"Yes","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4433.96226415094
98,"Porta",81,2,2,270000,"hooli HOME","E",142,"E",35,2022-03-02,"Yes","No",2015,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3333.33333333333
100,"Poble Sec",52,3,1,194500,"FINCAS GP","G",244,"F",50,2022-03-25,"Yes","Yes",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3740.38461538462
101,"Vallvidrera - Tibidabo - Les Planes",114,4,2,655000,"COLDWELL BANKER PREMIUM SANT CUGAT","E",97,"D",20,2022-04-06,"No","No",1976,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",5745.61403508772
102,"Esquerra Baixa de l´Eixample",141,4,2,695000,"HOMIM","E",287,"E",60,2022-04-06,"Yes","No",1962,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4929.0780141844
103,"La Guineueta",104,4,1,225000,"COLDWELL BANKER PREMIUM SANT CUGAT","G",999,"G",999,2022-04-05,"No","No",1962,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2163.46153846154
104,"La Sagrera",74,3,1,225000,"DUX GRUPO INMOBILAIRIO","E",208,"E",43,2022-04-07,"Yes","No",1971,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3040.54054054054
106,"Guinardó",200,4,3,635000,"CUGATCASAS","G",999,"G",999,2022-04-06,"Yes","No",2021,"Yes","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3175
108,"Baix Guinardó",77,3,1,355000,"COLDWELL BANKER PREMIUM SANT CUGAT","G",999,"G",999,2022-03-17,"No","No",1964,"Yes","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",4610.38961038961
109,"Sants",83,4,1,265000,"FINCAS GP","G",10,"G",10,2022-03-23,"No","No",1965,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3192.77108433735
110,"Sant Ramon - Maternitat",133,4,3,760000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","E",100,"E",10,2022-04-06,"Yes","No",1969,"Yes","No","No","No","No","No","Yes","No","No","No","No","Les Corts",5714.28571428571
112,"Les Corts",52,2,1,215000,"FINCAS GP","E",179,"F",46,2022-02-25,"No","No",1935,"No","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4134.61538461538
114,"Sant Antoni",80,3,2,410000,"CLIKALIA","E",340,"E",45,2022-03-21,"Yes","No",1979,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5125
115,"Camp d´en Grassot - Gràcia N.",72,4,1,290000,"PRINCIPAL PRIMERA","G",999,"G",999,2022-03-31,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Gracia",4027.77777777778
117,"Sant Ramon - Maternitat",89,5,2,319000,"CAMBRA DE LA PROPIETAT DE BARCELONA","G",999,"G",999,2022-03-30,"No","No",1953,"No","No","No","No","No","No","Yes","No","No","No","No","Les Corts",3584.26966292135
118,"Esquerra Alta de l´Eixample",70,1,1,260000,"ENGEL & VOELKERS","E",130,"E",32,2022-03-22,"Yes","Yes",1995,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",3714.28571428571
120,"Sant Antoni",76,3,1,315000,"CIDEB","E",199,"E",37,2022-03-10,"No","No",1950,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4144.73684210526
121,"Raval",88,3,1,230000,"Guinot Prunera Barcelona","G",999,"G",999,2022-03-28,"No","No",1991,"Yes","No","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",2613.63636363636
123,"Congrés - Indians",100,3,2,347000,"HIPERFINCAS","F",187,"F",45,2022-03-08,"Yes","No",1963,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3470
126,"Gòtic",65,2,1,249000,"Housfy Real Estate","E",175,"E",31,2022-04-09,"Yes","Yes",1900,"No","No","No","No","No","No","No","No","No","No","No","Ciutat Vella",3830.76923076923
129,"Prosperitat",110,4,2,435000,"LA CASA AGENCY - DIAGONAL MAR REAL ESTATE","F",999,"F",99,2022-04-06,"Yes","No",1974,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3954.54545454545
131,"Camp de l´Arpa",90,3,1,354000,"La Casa Agency - Punt Sant Pau","E",168,"E",32,2022-02-14,"No","No",1979,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3933.33333333333
134,"Poble Sec",116,4,2,3e+05,"COLDWELL BANKER PREMIUM SANT CUGAT","G",999,"G",999,2022-01-21,"Yes","No",1998,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",2586.20689655172
135,"Esquerra Alta de l´Eixample",102,3,2,569000,"DON CASA","E",134,"E",35,2022-03-07,"Yes","No",1958,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5578.43137254902
136,"Sant Gervasi - Galvany",109,4,2,610000,"TORIL MOLLER","E",47,"F",224,2022-04-07,"Yes","No",1976,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",5596.33027522936
137,"Baix Guinardó",91,4,2,380000,"Punt Immobiliari","G",999,"G",999,2022-04-08,"No","No",1971,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",4175.82417582418
138,"Sant Andreu",78,4,2,249990,"SI REAL ESTATE","G",999,"G",999,2022-03-28,"Yes","No",1974,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3205
142,"Sant Gervasi - Galvany",130,4,2,698000,"Singular Properties","F",56,"G",267,2022-02-08,"Yes","No",1962,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5369.23076923077
146,"El Clot",78,2,2,399000,"COLIBREE","B",25,"B",25,2022-03-23,"Yes","No",2022,"No","No","No","No","No","Yes","Yes","No","No","No","No","Sant Marti",5115.38461538462
147,"Sant Antoni",124,3,2,469000,"CASAVO","D",999,"D",999,2022-04-09,"Yes","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3782.25806451613
148,"La Guineueta",105,4,1,335000,"HOMIM","G",244,"F",51,2022-03-07,"No","No",1965,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3190.47619047619
150,"Hostafrancs",80,3,1,305000,"AGENCIA BCN REAL ESTATE","E",165,"E",34,2022-04-08,"Yes","Yes",1917,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3812.5
151,"Sagrada Família",51,2,1,269000,"FINQUES LEMI","G",237,"G",61,2022-03-21,"Yes","No",1930,"Yes","No","No","No","No","No","No","No","No","No","No","Eixample",5274.50980392157
152,"Barceloneta",65,1,1,367500,"Next Door Bcn","D",123,"D",78,2022-03-11,"Yes","Yes",2010,"Yes","No","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",5653.84615384615
153,"Sant Martí",65,2,1,135000,"PROYECTO CASA","E",195,"E",41,2022-04-02,"No","No",1968,"No","No","No","No","No","No","No","No","No","No","No","Sant Marti",2076.92307692308
155,"Horta",305,4,2,380000,"DON CASA","F",224,"E",47,2022-03-23,"Yes","No",1965,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",1245.90163934426
157,"Sant Antoni",80,3,1,340000,"CLIKALIA","E",159,"E",33,2022-04-07,"Yes","No",1955,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4250
160,"Fort Pienc",90,3,1,350000,"COLIBREE","E",152,"E",31,2022-04-01,"No","No",1925,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3888.88888888889
161,"Sant Gervasi - Galvany",132,3,2,705000,"Sarria Properties Sl","E",129,"E",29,2022-04-08,"No","No",1951,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",5340.90909090909
166,"Esquerra Baixa de l´Eixample",100,3,2,465000,"FINCAS GP","G",999,"G",999,2022-04-06,"Yes","No",1925,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4650
167,"Vila de Gràcia",94,2,1,355000,"DON CASA","E",153,"E",28,2022-03-30,"No","No",1973,"No","No","No","No","No","No","Yes","No","No","No","No","Gracia",3776.59574468085
168,"Les Corts",99,4,2,516000,"CENTURY 21 SMART POINT","G",999,"G",999,2022-04-08,"No","No",1973,"No","No","No","No","No","No","Yes","No","No","No","No","Les Corts",5212.12121212121
169,"Sant Andreu",116,3,2,362000,"DOLÇA LLAR","G",999,"G",999,2022-03-14,"Yes","No",2008,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3120.68965517241
171,"Sant Martí",65,3,1,215000,"LA CASA AGENCY","G",999,"G",99,2022-03-25,"No","No",1964,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3307.69230769231
174,"Sagrada Família",135,3,2,535000,"COLIBREE","G",999,"G",999,2022-03-16,"No","No",1944,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3962.96296296296
175,"La Guineueta",109,3,2,330000,"DON CASA","G",221,"G",57,2022-02-22,"No","No",1974,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3027.52293577982
176,"Diagonal Mar - La Mar Bella",93,2,2,560000,"PRIVALORE INMUEBLES SL","E",154,"E",32,2022-03-23,"Yes","No",2002,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",6021.50537634409
