,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
4602,Porta,100,3,2,330000.0,HIPERFINCAS,G,221.0,G,57.0,09/02/2022,0,0,1974,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
4604,Sagrada Família,87,2,3,449000.0,Proman,E,150.0,E,31.0,24/03/2022,0,0,1931,1,0,0,0,0,0,1,0,0,0,0,Eixample
4607,Sagrada Família,87,2,3,449000.0,Ethic Real Estate,E,150.0,E,31.0,29/03/2022,1,0,1931,0,0,0,0,0,0,1,0,0,0,0,Eixample
4610,Sagrada Família,110,5,2,395000.0,La Casa Agency - Punt Sant Pau,E,107.0,E,22.0,26/11/2021,1,0,1966,0,0,0,0,0,0,1,0,0,0,0,Eixample
4611,Sagrada Família,110,3,2,425000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,154.0,E,28.0,28/03/2022,0,0,1936,0,0,0,0,0,0,1,0,0,0,0,Eixample
4613,Sagrada Família,78,2,3,449000.0,TRES HABITAT,E,150.0,E,31.0,29/03/2022,1,0,1931,0,0,0,0,0,0,1,0,0,0,0,Eixample
4614,Sants,70,4,2,295000.0,Servicios De Intermediación Financiera La Casa Gru,E,258.0,E,23.0,19/03/2022,0,0,1920,1,0,0,0,0,0,0,0,0,0,0,Sants Montjuic
4618,El Coll,78,3,1,160000.0,NOVAHAUS BARCELONA,D,87.0,E,22.0,14/03/2022,0,0,1980,0,0,0,0,0,0,1,0,0,0,0,Gracia
4621,Sant Ramon - Maternitat,96,4,2,300000.0,ENGEL & VOELKERS,G,246.0,E,48.0,28/03/2022,0,0,1977,0,0,0,0,0,0,1,0,0,0,0,Les Corts
4625,Sagrada Família,110,3,2,425000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,154.0,E,28.0,28/03/2022,0,0,1936,0,0,0,0,0,0,1,0,0,0,0,Eixample
4631,Bon Pastor,80,3,1,179900.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDR,G,212.0,G,44.0,04/04/2022,0,0,1978,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4632,Sagrada Família,102,3,2,505000.0,INMODERNA GSI,E,159.0,E,33.0,01/02/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4636,Sagrada Família,102,3,2,505000.0,GOLDEN SQUARE BARCELONA,E,159.0,E,33.0,18/01/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4637,Horta,305,4,2,380000.0,Inmotarget,F,224.0,E,47.0,10/03/2022,0,0,1965,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
4638,Raval,105,4,2,425000.0,SELECTIA IMMO,G,163.0,F,34.0,19/01/2022,1,0,1977,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4639,Sagrada Família,102,3,2,505000.0,SANS SERVEIS,E,159.0,E,33.0,09/02/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4641,Glòries El Parc,84,3,1,340000.0,Isferica,G,999.0,G,999.0,08/04/2022,1,0,1970,1,1,0,0,0,0,1,0,0,0,1,Sant Marti
4642,La Verneda - La Pau,90,3,1,220000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,G,999.0,G,99.0,04/04/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4643,Roquetes,90,3,1,190000.0,La Naranja Inmobiliaria,G,999.0,G,999.0,21/01/2022,1,0,1969,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4645,La Verneda - La Pau,90,3,1,220000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,F,999.0,F,99.0,24/03/2022,1,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4646,Camp de l´Arpa,56,1,1,210000.0,FINCAS AG NUÑEZ,F,223.0,E,39.0,02/02/2022,0,0,1936,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4647,La Marina-Montjuïc,79,3,1,219000.0,LA CASA GRUP,G,999.0,G,99.0,30/03/2022,1,0,1967,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4648,Sagrada Família,80,3,1,370000.0,La Casa Agency - Punt Sant Cugat,G,241.0,F,50.0,26/03/2022,0,0,1968,1,0,0,0,0,0,1,0,0,0,0,Eixample
4650,Dreta de l´Eixample,101,2,2,1117800.0,URBENORTE CATALUNYA,G,999.0,G,999.0,07/03/2022,1,0,2006,1,0,0,0,0,0,1,0,0,0,0,Eixample
4652,Sagrada Família,102,3,2,505000.0,SELECTIA IMMO,E,159.0,E,33.0,14/02/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4653,Sagrada Família,70,2,1,335000.0,HOMIM,E,191.0,E,38.0,01/03/2022,1,0,1952,0,0,0,0,0,0,1,0,0,0,0,Eixample
4654,Navas,109,4,2,350000.0,HIPERFINCAS,E,133.0,E,27.0,01/04/2022,1,0,1981,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4655,La Guineueta,105,4,1,335000.0,BCN FLATS,G,244.0,F,51.0,08/03/2022,0,1,1965,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4656,Sant Ramon - Maternitat,73,4,1,304000.0,TRES HABITAT,G,259.0,F,54.0,24/03/2022,0,0,1968,1,0,0,0,0,0,1,0,0,0,0,Les Corts
4657,Sant Ramon - Maternitat,85,4,1,304000.0,Grau Serveis Inmobiliaris,G,259.0,F,54.0,05/01/2022,0,0,1968,1,0,0,0,0,0,1,0,0,0,0,Les Corts
4658,Sants,72,3,1,271500.0,Immo-C,E,165.0,E,34.0,07/04/2022,1,0,1955,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4660,Diagonal Mar - La Mar Bella,82,4,2,340000.0,LA CASA GRUP,E,149.0,E,31.0,19/03/2022,0,0,1979,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4661,Poble Sec,60,2,1,349000.0,SELECTIA IMMO,E,136.0,E,35.0,28/02/2022,1,0,1872,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4662,St. Pere - Sta. Caterina - El Born,85,2,2,380000.0,FINCAS MIRAFER,E,11.0,F,22.0,01/09/2021,1,0,1900,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4663,Sant Gervasi - Galvany,75,1,1,490000.0,ENGEL & VOELKERS,F,222.0,E,46.0,22/03/2022,1,0,1908,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
4664,Sant Ramon - Maternitat,157,4,3,950000.0,ENGEL & VOELKERS,E,106.0,E,21.0,25/03/2022,1,0,1968,0,0,0,0,0,1,1,0,0,0,0,Les Corts
4665,Sagrada Família,85,2,1,354000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,221.0,F,36.0,28/02/2022,1,0,1960,0,0,0,0,0,0,1,0,0,0,0,Eixample
4666,Gòtic,87,2,2,440000.0,FINQUES RODÉS,E,151.0,E,25.0,24/03/2022,1,0,1840,1,0,0,0,0,1,1,0,0,0,0,Ciutat Vella
4668,Sagrada Família,75,3,1,287000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,F,300.0,F,120.0,19/11/2021,1,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4669,Vilapicina - Torre Llobeta,83,3,1,260000.0,LA CASA AGENCY,E,121.0,E,33.0,14/12/2021,1,0,1966,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
4670,Hostafrancs,108,4,2,550000.0,ENGEL & VOELKERS,G,999.0,G,999.0,22/03/2022,1,0,1981,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4672,Sagrada Família,52,2,1,223000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,164.0,E,34.0,08/04/2022,1,0,1927,0,0,0,0,0,0,1,0,0,0,0,Eixample
4673,El Clot,95,3,2,415000.0,EUROFINCAS,G,266.0,F,56.0,16/03/2022,1,0,1998,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4675,Torre Baró,73,3,1,138000.0,LA CASA GRUP,G,999.0,G,99.0,23/03/2022,0,0,2007,0,0,0,0,0,1,1,0,0,0,0,Nou Barris
4678,Turó de la Peira - Can Peguera,55,3,1,220000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,188.0,E,88.0,15/03/2022,1,0,1973,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4679,Diagonal Mar - La Mar Bella,86,4,2,340000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,128.0,E,28.0,16/03/2022,0,0,1974,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4680,Camp de l´Arpa,91,2,2,248000.0,ABSIS2004,G,999.0,G,999.0,10/03/2022,1,0,2005,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4688,Sant Ramon - Maternitat,85,4,1,304000.0,DON PISO - HOSPITALET,G,259.0,F,54.0,10/03/2022,0,0,1968,1,0,0,0,0,0,1,0,0,0,0,Les Corts
4689,La Marina-Montjuïc,90,4,1,275000.0,Pisos-Barcelona,E,122.0,E,96.0,08/04/2022,0,0,1978,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
4690,La Verneda - La Pau,81,3,1,285000.0,"PUNT SAGRADA FAMILIA, S.L.",E,123.0,E,63.0,10/02/2022,1,1,1969,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4691,Navas,99,3,2,379000.0,DOLÇA LLAR,G,999.0,G,999.0,25/03/2022,1,0,1996,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4692,Esquerra Baixa de l´Eixample,116,3,2,460000.0,HOMIM,E,155.0,E,32.0,01/03/2022,1,0,1895,1,0,0,0,0,0,1,0,0,0,0,Eixample
4694,El Clot,112,3,2,415000.0,ONREALE REAL ESTATE SERVICES,G,266.0,F,56.0,25/02/2022,1,0,1998,1,0,0,0,0,1,1,0,0,0,0,Sant Marti
4696,Sagrada Família,52,2,1,249000.0,La Casa Agency - Punt Sant Pau,E,127.0,E,54.0,10/03/2022,1,0,1910,0,0,0,0,0,0,1,0,0,0,0,Eixample
4697,Trinitat Nova,70,3,1,169900.0,NARANJA INMOBILIARIA,G,999.0,G,999.0,03/03/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
4699,Raval,98,3,2,345000.0,ANDOR HOME,G,999.0,G,999.0,28/03/2022,1,0,2000,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4700,Sagrada Família,52,3,1,249000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,127.0,E,54.0,10/03/2022,1,0,1910,0,0,0,0,0,0,1,0,0,0,0,Eixample
4701,La Verneda - La Pau,90,3,1,220000.0,LA CASA GRUP,G,999.0,G,999.0,24/03/2022,1,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4702,Camp de l´Arpa,75,3,1,279000.0,FINCAS CUMBRE,G,999.0,G,999.0,04/03/2022,1,1,1959,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4705,Sagrada Família,132,5,2,440000.0,SELECTIA IMMO,E,190.0,E,40.0,01/12/2021,0,0,1948,0,0,0,0,0,0,1,0,0,0,0,Eixample
4707,Glòries El Parc,87,4,2,445000.0,Grau Serveis Inmobiliaris,E,119.0,D,23.0,28/03/2022,0,0,1973,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4708,Esquerra Baixa de l´Eixample,156,4,3,1325000.0,Withfor,E,162.0,E,40.0,16/02/2022,0,0,1977,1,0,0,0,0,0,1,0,0,0,0,Eixample
4709,Trinitat Vella,70,3,1,220000.0,FINCAS CUMBRE,E,121.0,F,21.0,21/03/2022,0,0,2003,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4710,Sant Antoni,104,2,2,499000.0,GALA FINQUES,E,153.0,E,31.0,22/03/2022,0,0,1977,0,0,0,0,0,0,1,0,0,0,0,Eixample
4712,Dreta de l´Eixample,101,3,2,420000.0,HOMIM,E,165.0,E,29.0,16/03/2022,1,0,1972,1,0,0,0,0,1,1,0,0,0,0,Eixample
4713,Gòtic,79,2,1,335000.0,FINQUES UNA,G,371.0,G,71.0,18/01/2022,0,0,1874,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4715,St. Pere - Sta. Caterina - El Born,110,2,1,525000.0,Remax Centre/Castillo,E,179.0,E,38.0,23/03/2022,1,0,1937,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4716,Vallcarca - Penitents,190,4,3,725000.0,Singular Properties,G,999.0,G,999.0,07/02/2022,1,0,2000,1,0,0,0,0,0,1,0,0,0,0,Gracia
4717,Esquerra Alta de l´Eixample,134,3,2,890000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,D,23.0,E,118.0,01/09/2021,1,1,1920,1,0,0,0,0,0,1,0,0,0,0,Eixample
4718,Sagrada Família,85,3,2,354000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,221.0,F,36.0,02/03/2022,1,0,1970,0,0,0,0,0,0,1,0,0,0,0,Eixample
4719,La Verneda - La Pau,76,3,1,207000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,201.0,E,39.0,19/03/2022,0,0,1968,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4720,Sant Antoni,100,4,2,499000.0,DON PISO - HOSPITALET,E,153.0,E,31.0,10/03/2022,1,0,1977,0,0,0,0,0,0,1,0,0,0,0,Eixample
4722,Esquerra Baixa de l´Eixample,76,2,2,320000.0,FINQUES RODÉS,E,138.0,E,29.0,25/03/2022,1,0,1900,1,0,0,0,0,0,1,0,0,0,0,Eixample
4723,Baix Guinardó,96,2,2,310000.0,GAUDI HOUSE,E,102.0,E,25.0,21/02/2022,0,0,1964,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
4731,Turó de la Peira - Can Peguera,64,2,1,175000.0,CLAVEM REAL ESTATE,G,172.0,G,36.0,08/04/2022,1,0,1959,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4734,Esquerra Baixa de l´Eixample,144,4,2,595000.0,Flat hunter Barcelona,G,999.0,G,999.0,29/03/2022,1,1,2005,1,0,0,0,0,1,1,0,0,0,0,Eixample
4736,St. Pere - Sta. Caterina - El Born,138,4,2,960000.0,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,B,41.0,B,8.0,11/03/2022,1,0,2018,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4738,La Verneda - La Pau,64,3,1,189000.0,"PUNT SAGRADA FAMILIA, S.L.",E,118.0,E,29.0,05/04/2022,0,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4741,Font de la Guatlla,127,5,2,360000.0,ENGEL & VOELKERS,E,140.0,E,28.0,22/03/2022,1,0,1945,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4743,Sagrada Família,73,3,1,310000.0,hooli HOME,F,219.0,E,37.0,02/03/2022,1,0,1966,1,0,0,0,0,0,1,0,0,0,0,Eixample
4744,Sant Gervasi - Galvany,219,5,3,1200000.0,Hannan-Piper Real Estate,E,155.0,E,29.0,29/03/2022,1,0,1928,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
4745,Les Corts,73,3,1,346000.0,JUALE-UNO,E,115.0,E,24.0,22/12/2021,0,0,1967,0,0,0,0,0,0,1,0,0,0,0,Les Corts
4746,Vilapicina - Torre Llobeta,83,3,1,260000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,121.0,E,33.0,11/01/2022,1,0,1966,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4747,Congrés - Indians,83,3,1,240000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,121.0,E,21.0,10/03/2022,1,0,1962,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4748,Sant Martí,74,3,1,245000.0,LA CASA GRUP,G,999.0,G,999.0,31/03/2022,1,0,1966,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4752,Esquerra Alta de l´Eixample,75,3,1,320000.0,Compraventabarcelona by Fincas Gonseni,E,127.0,E,26.0,03/03/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
4753,Guinardó,99,4,2,325000.0,TRES HABITAT,G,285.0,G,60.0,29/03/2022,0,0,1980,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
4755,Esquerra Alta de l´Eixample,94,3,2,400000.0,ENGEL & VOELKERS,E,201.0,E,42.0,24/03/2022,0,0,1971,1,0,0,0,0,0,1,0,0,0,0,Eixample
4756,Sant Martí,119,3,1,239000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,155.0,E,25.0,15/03/2022,1,0,1957,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4757,Sant Martí,119,3,1,239000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,G,999.0,G,999.0,28/03/2022,1,0,1957,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4761,Putget - Farró,144,3,3,890000.0,Optimum,G,999.0,G,999.0,18/03/2022,1,0,1979,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
4763,Fort Pienc,97,4,2,395000.0,FINCAS CUMBRE,E,161.0,E,32.0,09/03/2022,1,0,1980,1,0,0,0,0,0,1,0,0,0,0,Eixample
4764,Turó de la Peira - Can Peguera,55,3,1,220000.0,"PUNT SAGRADA FAMILIA, S.L.",E,188.0,E,50.0,09/03/2022,1,1,1973,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
4766,Dreta de l´Eixample,104,3,2,550000.0,NEMO REAL ESTATE,E,156.0,E,33.0,04/04/2022,0,0,1936,0,0,0,0,0,0,1,0,0,0,0,Eixample
4767,La Verneda - La Pau,70,3,1,210000.0,LA CASA GRUP,G,999.0,G,99.0,22/03/2022,1,0,1985,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4768,Sagrada Família,66,3,1,279000.0,LA CASA GRUP,F,999.0,E,999.0,29/03/2022,1,0,1952,0,0,0,0,0,0,1,0,0,0,0,Eixample
4769,La Verneda - La Pau,92,3,1,215000.0,LA CASA GRUP,G,999.0,G,999.0,28/03/2022,0,0,1970,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4774,Baix Guinardó,79,3,1,265000.0,Diaz De Casas,G,999.0,G,999.0,07/04/2022,0,0,1958,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
4776,Glòries El Parc,124,3,2,499000.0,CasasPlus Servicios Inmobiliarios,E,185.0,E,39.0,08/04/2022,0,0,1973,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4777,El Coll,106,3,2,465000.0,Yrmasa Inversiones Inmobiliarias,C,100.0,C,100.0,07/04/2022,1,0,2022,1,0,0,0,0,1,1,0,0,0,0,Gracia
4778,Besòs - Maresme,90,3,1,270000.0,LA CASA GRUP,G,999.0,G,99.0,11/02/2022,1,0,1977,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4779,Sants,75,3,1,269000.0,LA CASA GRUP,F,99.0,F,99.0,07/02/2022,1,0,1977,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4781,Badal,107,4,2,240000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,E,121.0,E,21.0,16/03/2022,0,0,1968,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4783,Carmel,72,3,1,132500.0,Rafa Galera Cabrera,G,999.0,G,999.0,06/04/2022,1,1,1970,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
4784,Provençals del Poblenou,81,3,1,235000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,F,999.0,F,99.0,22/03/2022,0,0,1979,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4785,La Sagrera,57,2,1,189000.0,"PUNT SAGRADA FAMILIA, S.L.",E,135.0,E,155.0,17/03/2022,1,0,1965,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4786,Sant Andreu,75,3,1,225000.0,FINCAS CUMBRE,G,999.0,G,999.0,02/03/2022,0,1,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4788,Besòs - Maresme,90,3,1,270000.0,LA CASA AGENCY PUNTO CIUDAD DE VALENCIA,G,999.0,G,99.0,24/02/2022,0,0,1977,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4790,Les Corts,150,3,2,885000.0,COVEAL REAL ESTATE,G,999.0,G,999.0,08/04/2022,1,1,1967,1,0,0,0,0,0,1,0,0,0,0,Les Corts
4791,Sagrada Família,66,3,1,279000.0,La Casa Agency - Punt Sant Pau,E,127.0,E,50.0,24/03/2022,1,0,1952,0,0,0,0,0,0,1,0,0,0,0,Eixample
4792,Glòries El Parc,87,4,2,445000.0,FINQUES LEMI,E,119.0,D,23.0,22/03/2022,0,0,1973,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
4793,St. Pere - Sta. Caterina - El Born,124,2,1,590000.0,Ethic Real Estate,E,120.0,E,24.0,29/03/2022,1,0,1890,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4794,Raval,64,2,1,189000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,127.0,E,27.0,24/03/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4796,Poble Sec,90,3,2,255000.0,SELECTIA IMMO,F,163.0,F,43.0,18/02/2022,0,0,1902,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4797,Esquerra Alta de l´Eixample,92,4,2,410000.0,SANS SERVEIS,G,999.0,G,999.0,31/03/2022,0,0,1920,0,0,0,0,0,0,1,0,0,0,0,Eixample
4800,Poble Sec,60,2,1,349000.0,HOMIM,E,136.0,E,35.0,01/03/2022,1,0,1872,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4802,Raval,64,2,1,189000.0,"PUNT SAGRADA FAMILIA, S.L.",E,127.0,E,27.0,23/03/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4805,La Guineueta,109,3,2,330000.0,INMODERNA GSI,G,221.0,G,57.0,11/02/2022,0,0,1974,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4807,Sagrada Família,110,5,2,395000.0,LA CASA AGENCY,C,256.0,C,27.0,19/03/2022,0,0,1966,0,0,0,0,0,0,1,0,0,0,0,Eixample
4808,Dreta de l´Eixample,180,4,2,1400000.0,SIMURBA,F,217.0,E,36.0,01/12/2021,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Eixample
4809,La Guineueta,109,3,2,330000.0,SELECTIA IMMO,G,221.0,G,57.0,11/02/2022,0,0,1974,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4812,Fort Pienc,114,4,2,560000.0,Inmotarget,E,200.0,E,42.0,24/03/2022,1,0,1968,1,0,0,0,0,0,1,0,0,0,0,Eixample
4813,Sagrada Família,110,3,1,450000.0,LA CASA GRUP,F,999.0,F,999.0,08/03/2022,0,0,1936,0,0,0,0,0,0,1,0,0,0,0,Eixample
4814,Sagrada Família,110,3,2,450000.0,LA CASA GRUP,E,154.0,E,28.0,04/02/2022,0,0,1936,0,0,0,0,0,0,0,0,0,0,0,Eixample
4815,Dreta de l´Eixample,79,3,1,299000.0,LA CASA GRUP,E,142.0,E,30.0,05/03/2022,0,0,1961,0,0,0,0,0,0,1,0,0,0,0,Eixample
4816,Sagrada Família,110,5,2,395000.0,LA CASA GRUP,E,127.0,E,22.0,17/03/2022,0,0,1966,0,0,0,0,0,0,1,0,0,0,0,Eixample
4817,Sagrada Família,80,3,1,299000.0,LA CASA GRUP,F,999.0,F,999.0,24/01/2022,0,0,1961,0,0,0,0,0,0,1,0,0,0,0,Eixample
4818,La Verneda - La Pau,150,4,2,280000.0,Servicios De Intermediación Financiera La Casa Gru,G,999.0,G,999.0,24/03/2022,0,0,1963,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4823,El Clot,100,4,2,330000.0,GAND HOUSE,E,171.0,F,44.0,03/02/2022,0,0,1964,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4830,Fort Pienc,114,4,2,560000.0,HOMIM,E,200.0,E,42.0,24/03/2022,1,0,1968,1,0,0,0,0,0,1,0,0,0,0,Eixample
4831,Prosperitat,69,3,1,193000.0,GAND HOUSE,E,147.0,E,31.0,26/01/2022,0,0,1965,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4832,La Guineueta,109,3,2,330000.0,GOLDEN SQUARE BARCELONA,G,221.0,G,57.0,11/02/2022,0,0,1974,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4834,Sant Gervasi - Galvany,100,3,1,539000.0,MARGARITA PUIG - CONSULTORA INMOBILIARIA,E,185.0,E,38.0,22/03/2022,1,0,1916,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
4837,Sants,84,3,2,395000.0,ENGEL & VOELKERS,E,121.0,E,25.0,22/03/2022,0,0,1979,0,0,0,0,0,1,1,0,0,0,0,Sants Montjuic
4838,La Guineueta,109,3,2,330000.0,SANS SERVEIS,G,221.0,G,57.0,11/02/2022,0,0,1974,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
4843,Besòs - Maresme,86,4,2,340000.0,Servicios De Intermediación Financiera La Casa Gru,E,149.0,E,31.0,17/03/2022,0,0,1979,0,0,0,0,0,0,0,0,0,0,0,Sant Marti
4844,La Verneda - La Pau,90,3,1,220000.0,LA CASA GRUP,G,999.0,G,999.0,25/03/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4845,Gòtic,80,2,2,440000.0,EUROFINCAS,E,151.0,E,25.0,23/03/2022,0,0,1840,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
4847,La Sagrera,70,3,1,198000.0,GAUDI HOUSE,E,134.0,E,25.0,31/03/2022,0,0,1973,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4848,Sant Gervasi - Galvany,128,2,2,1050000.0,Vive con gracia,G,999.0,G,999.0,28/01/2022,1,1,1970,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
4850,La Verneda - La Pau,90,3,1,220000.0,LA CASA AGENCY PUNTO CIUDAD DE VALENCIA,G,999.0,G,999.0,28/03/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
4851,Barceloneta,110,2,2,720000.0,Ara Barcelona,E,120.0,E,34.0,29/10/2021,1,1,1975,1,0,0,0,0,1,1,0,0,0,0,Ciutat Vella
4854,La Sagrera,59,3,1,206000.0,DOLÇA LLAR,G,999.0,G,999.0,05/04/2022,0,0,1966,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
4855,Camp d´en Grassot - Gràcia N.,80,3,1,370000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,F,50.0,G,999.0,28/03/2022,0,0,1968,0,0,0,0,0,0,1,0,0,0,0,Gracia
4856,Verdun,90,3,1,184000.0,LA CASA GRUP,E,155.0,E,32.0,28/03/2022,0,0,1963,1,0,0,0,0,0,0,0,0,0,0,Nou Barris
4857,La Marina-Port,100,3,2,249000.0,LA CASA GRUP,E,125.0,F,50.0,15/02/2022,0,0,1986,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
4858,Porta,88,4,1,189000.0,DOLÇA LLAR,G,999.0,G,999.0,12/01/2022,0,0,1974,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
