,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
11597,Pedralbes,277,5,3,1495000.0,midistrito.com,E,120.0,E,25.0,25/03/2022,1,0,1977,1,1,1,0,0,1,1,1,1,1,1,Les Corts
11598,Gòtic,106,2,2,790000.0,Coldwell Banker  Eminent,G,999.0,G,999.0,21/02/2022,1,0,1968,1,1,0,0,0,0,1,0,0,0,0,Ciutat Vella
11600,Sant Antoni,102,3,1,350000.0,Fincas Sanchez,E,102.0,E,92.0,29/03/2022,0,0,1970,1,1,0,0,0,0,1,0,0,0,0,Eixample
11601,Sagrada Família,81,3,1,285000.0,Assessors Immobiliaris Algi,E,152.0,E,32.0,14/03/2022,0,0,1958,0,1,0,0,0,0,1,0,0,0,0,Eixample
11602,Camp de l´Arpa,100,3,1,405000.0,Assessors Immobiliaris Algi,E,152.0,E,32.0,15/03/2022,1,0,1976,0,1,0,0,0,0,1,0,0,0,0,Sant Marti
11605,Sant Martí,60,2,1,150000.0,YOU HOME IN BARCELONA REAL ESTATE S. L.,G,999.0,G,999.0,01/04/2022,1,0,1967,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
11609,Dreta de l´Eixample,225,4,3,1350000.0,AVinvestor,D,100.0,D,20.0,24/03/2022,0,1,1900,1,1,0,0,0,1,1,0,0,0,1,Eixample
11613,Hostafrancs,68,2,1,227000.0,Casa en Sant Cugat,F,56.0,G,265.0,28/03/2022,0,0,1971,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11614,Sants,62,3,1,221000.0,Almendros,E,197.0,E,38.0,04/02/2022,0,0,1971,0,1,0,0,0,0,0,0,0,0,0,Sants Montjuic
11616,Camp de l´Arpa,106,4,2,426000.0,Finques Futura,E,197.0,E,41.0,07/04/2022,0,0,1974,0,1,0,0,0,0,1,0,0,1,0,Sant Marti
11618,Sant Martí,57,2,1,190000.0,SIMURBA,G,272.0,F,52.0,01/12/2021,0,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
11619,St. Pere - Sta. Caterina - El Born,56,1,1,235000.0,AA Inmo,G,999.0,G,999.0,21/02/2022,1,1,1890,1,1,0,0,0,0,0,0,0,0,0,Ciutat Vella
11620,Bon Pastor,104,3,2,299900.0,Tecnocasa Gran de San Andreu,E,171.0,E,36.0,12/02/2022,1,1,2002,1,1,0,0,0,1,1,0,1,0,0,Sant Andreu
11622,La Marina-Port,100,4,2,280000.0,Euro House Fincas,F,224.0,E,44.0,08/04/2022,1,0,1982,0,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11623,Roquetes,70,4,1,99000.0,BLAUNEX,E,137.0,E,75.0,18/03/2022,0,0,1967,0,1,0,0,0,0,1,0,0,0,1,Nou Barris
